Locality,FIPS,Year,DeathCount,DeathRate,Theme1,Theme2,Theme3,Theme4,Themes,PctDisabled,PctUnemployed,PctUninsured,PctMinority,PctPov150
Accomack County,51001,2016,5,15.17588855,0.7424,0.7576,0.9091,0.8788,0.9242,12.4,7,18,39.4,19.5
Albemarle County,51003,2016,3,2.806938753,0.0758,0.0909,0.6288,0.5379,0.1894,8.6,3.2,8,22.6,9.7
Alexandria City,51510,2016,8,5.134458636,0.0985,0.0152,0.9621,0.7348,0.2197,6.9,4,14.3,48,9.8
Alleghany County,51005,2016,2,12.82462328,0.5227,0.7273,0.2197,0.4167,0.4318,19.6,4.6,8.3,8.1,18.3
Amelia County,51007,2016,1,7.744133819,0.4318,0.5606,0.2879,0.2273,0.3182,13.4,4,14.4,27.8,11.6
Amherst County,51009,2016,3,9.483766952,0.5682,0.4848,0.5758,0.5758,0.6136,14.5,5.5,12.1,24.4,14.1
Appomattox County,51011,2016,3,19.38610662,0.4924,0.8409,0.2803,0.2652,0.4545,16.4,4.5,9.3,23.4,17.3
Arlington County,51013,2016,22,9.563138448,0.0152,0,0.8788,0.8182,0.1364,5.4,3.4,8.6,37.1,8.7
Augusta County,51015,2016,3,4.000160006,0.2652,0.2273,0.1439,0.2727,0.1742,14.1,4.9,10.4,8.4,9.2
Bath County,51017,2016,0,0,0.4394,0.553,0.1288,0.5606,0.3788,17.5,8.7,10.8,8.3,8.4
Bedford County,51019,2016,3,3.848127245,0.2121,0.3258,0.2727,0.1288,0.1136,14.4,4.7,8.4,11.6,9.2
Bland County,51021,2016,0,0,0.447,0.1667,0.0227,0.6818,0.3106,17.1,6.5,9.6,5.5,9.7
Botetourt County,51023,2016,3,9.027715085,0.1136,0.2652,0.2045,0.0455,0.0455,14.1,4.1,5,6.8,8.3
Bristol City,51520,2016,1,5.896226415,0.7803,0.9773,0.1061,0.6591,0.7955,21.3,8.7,13.8,11.9,20.6
Brunswick County,51025,2016,1,6.156498184,0.8788,0.75,0.7955,0.8939,0.947,19.1,6.8,12.4,59.1,21.9
Buchanan County,51027,2016,3,13.52691857,0.9848,0.5227,0.0227,0.6515,0.7045,23.8,9.7,14,4.6,23.9
